"Marital_status","Application_mode","Application_order","Course","Daytime_evening_attendance","Previous_qualification","Previous_qualification_grade","Nacionality","Mother_s_qualification","Father_s_qualification","Mother_s_occupation","Father_s_occupation","Admission_grade","Displaced","Educational_special_needs","Debtor","Tuition_fees_up_to_date","Gender","Scholarship_holder","Age_at_enrollment","International","Curricular_units_1st_sem_credited","Curricular_units_1st_sem_enrolled","Curricular_units_1st_sem_evaluations","Curricular_units_1st_sem_approved","Curricular_units_1st_sem_grade","Curricular_units_1st_sem_without_evaluations","Curricular_units_2nd_sem_credited","Curricular_units_2nd_sem_enrolled","Curricular_units_2nd_sem_evaluations","Curricular_units_2nd_sem_approved","Curricular_units_2nd_sem_grade","Curricular_units_2nd_sem_without_evaluations","Unemployment_rate","Inflation_rate","GDP","Target"
"Single","1st phase - general contingent",1,"Equinculture","daytime","Secondary education",137,"Portuguese",3,19,"Intermediate Level Technicians and Professions","Personal Services, Security and Safety Workers and Sellers",136.3,1,0,0,1,0,0,20,0,"0","5","8","4",12.5,"1","0","5","8","4",12.25,"1",10.8,1.4,1.74,"Graduate"
"Single","1st phase - general contingent",1,"Basic Education","daytime","Secondary education",140,"Portuguese",19,19,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",124.6,1,0,0,1,0,0,18,0,"0","7","7","6",11.6666666666667,"0","0","7","8","6",13.5,"0",16.2,0.3,-0.92,"Enrolled"
"Single","1st phase - general contingent",3,"Animation and Multimedia Design","daytime","Secondary education",122,"Portuguese",1,1,"Unskilled Workers","Installation and Machine Operators and Assembly Workers",120.3,0,0,0,1,0,1,21,0,"0","0","0","0",1.36188176442558,"0","0","0","0","0",4.81106186764346,"0",11.1,0.6,2.02,"Graduate"
"Single","1st phase - general contingent",4,"Advertising and Marketing Management","daytime","Secondary education",125,"Portuguese",1,38,"Administrative staff","Skilled Workers in Industry, Construction and Craftsmen",114.9,1,0,0,1,0,1,19,0,"0","6","8","6",13.375,"0","0","6","7","6",12.2857142857143,"0",11.1,0.6,2.02,"Graduate"
"Single","1st phase - general contingent",1,"Nursing","daytime","Secondary education",126,"Portuguese",19,19,"Intermediate Level Technicians and Professions","Skilled Workers in Industry, Construction and Craftsmen",123.9,0,0,0,1,0,0,19,0,"0","7","8","6",13.2966666666667,"0","0","8","9","7",14.1142857142857,"0",11.1,0.6,2.02,"Graduate"
"Single","2nd phase - general contingent",2,"Social Service","daytime","Secondary education",115,"Portuguese",19,38,"Skilled Workers in Industry, Construction and Craftsmen","Installation and Machine Operators and Assembly Workers",116.4,1,0,0,1,0,0,21,0,"0","6","9","6",11.375,"0","0","6","9","6",13.2857142857143,"0",16.2,0.3,-0.92,"Graduate"
"Single","1st phase - general contingent",1,"Veterinary Nursing","daytime","Secondary education",138,"Portuguese",19,19,"Intermediate Level Technicians and Professions","Intermediate Level Technicians and Professions",131,1,0,0,1,0,0,18,0,"0","5","9","5",12.6666666666667,"1","0","5","7","4",13,"0",9.4,-0.8,-3.12,"Enrolled"
"Single","1st phase - general contingent",1,"Management","daytime","Secondary education",135,"Portuguese",19,1,"Unskilled Workers","Unskilled Workers",122.1,1,0,0,1,0,0,20,0,"0","5","6","5",12,"0","0","5","6","5",12.3333333333333,"0",16.2,0.3,-0.92,"Graduate"
"Single","2nd phase - general contingent",2,"Nursing","daytime","Secondary education",127,"Portuguese",3,3,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Armed Forces Professions",118.8,1,0,0,1,1,0,19,0,"0","7","9","6",12.9333333333333,"0","0","7","7","6",13.7166666666667,"0",16.2,0.3,-0.92,"Enrolled"
"Single","Change of institution/course",1,"Communication Design","daytime","Secondary education",125,"Portuguese",42,3,"Specialists in information and communication technologies (ICT)","Specialists in finance, accounting, administrative organization, public and commercial relations",130,1,0,0,1,1,0,20,0,"1","6","7","6",12.8333333333333,"0","0","6","9","4",13.4,"0",8.9,1.4,3.51,"Graduate"
"Single","1st phase - general contingent",1,"Management","daytime","Secondary education",143,"Portuguese",1,1,"Administrative staff","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",138.8,0,0,0,0,1,0,18,0,"0","5","9","3",11.3333333333333,"0","0","5","8","2",13.5,"0",8.9,1.4,3.51,"Enrolled"
"Single","3rd phase - general contingent",1,"Social Service (evening attendance)","evening","Secondary education",138,"Portuguese",19,1,"Unskilled Workers","Personal Services, Security and Safety Workers and Sellers",134.5,1,0,0,1,0,0,19,0,"0","6","6","6",12.6666666666667,"0","0","6","8","6",14.375,"0",12.4,0.5,1.79,"Graduate"
"Single","1st phase - general contingent",1,"Management (evening attendance)","evening","Secondary education",130,"Portuguese",2,37,"Intermediate Level Technicians and Professions","Unskilled Workers",131.4,0,0,0,1,1,0,34,0,"0","5","6","5",12.4,"0","0","5","9","5",13.4285714285714,"0",13.9,-0.3,0.79,"Graduate"
"Single","Over 23 years old",1,"Biofuel Production Technologies","daytime","Secondary education",130,"Portuguese",38,37,"Unskilled Workers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",102.5,0,0,1,0,1,0,37,0,"0","7","7","0",2.98368583939349,"0","0","7","7","1",10,"0",8.9,1.4,3.51,"Dropout"
"Divorced","Over 23 years old",1,"Management (evening attendance)","evening","Secondary education",120,"Portuguese",19,19,"Unskilled Workers","Intermediate Level Technicians and Professions",113.9,1,0,0,1,0,0,39,0,"0","5","8","5",11,"0","0","5","5","5",11.6,"0",7.6,2.6,0.32,"Graduate"
"Single","1st phase - general contingent",5,"Journalism and Communication","daytime","Secondary education",126,"Portuguese",3,3,"Specialists in Intellectual and Scientific Activities","Specialists in Intellectual and Scientific Activities",121.1,0,0,1,1,0,0,18,0,"0","6","6","4",12.75,"0","0","5","5","0",3.34755864885309,"0",12.7,3.7,-1.7,"Dropout"
"Single","1st phase - general contingent",2,"Management","daytime","Secondary education",133,"Portuguese",3,19,"Specialists in Intellectual and Scientific Activities","Skilled Workers in Industry, Construction and Craftsmen",120.4,1,0,0,1,0,0,22,0,"0","5","5","5",14.8,"0","0","5","5","5",15.8,"0",8.9,1.4,3.51,"Graduate"
"Single","1st phase - general contingent",6,"Nursing","daytime","Secondary education",103,"Portuguese",1,3,"Specialists in Intellectual and Scientific Activities","Specialists in Intellectual and Scientific Activities",100.6,1,1,0,1,0,0,22,0,"0","7","9","5",13.928,"0","0","8","9","7",14.3428571428571,"0",11.1,0.6,2.02,"Graduate"
"Single","2nd phase - general contingent",1,"Journalism and Communication","daytime","Secondary education",120,"Portuguese",1,38,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",121.4,0,0,0,0,0,0,20,0,"0","6","7","4",13,"0","0","6","7","5",13.8,"0",12.4,0.5,1.79,"Dropout"
"Single","Over 23 years old",1,"Management (evening attendance)","evening","Secondary education",133.1,"Portuguese",37,37,"Unskilled Workers","Unskilled Workers",109.7,0,0,0,1,0,0,29,0,"0","5","0","0",9.80675140763895,"0","0","5","0","0",1.07670659691418,"0",16.2,0.3,-0.92,"Dropout"
"Single","2nd phase - general contingent",2,"Social Service","daytime","Secondary education",130,"Portuguese",19,19,"Unskilled Workers","Unskilled Workers",127.6,1,0,0,1,0,0,18,0,"0","6","6","6",11.6666666666667,"0","0","6","8","5",13.2,"0",11.1,0.6,2.02,"Graduate"
"Single","2nd phase - general contingent",6,"Nursing","daytime","Secondary education",132,"Portuguese",37,19,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",132.4,1,0,0,1,0,1,22,0,"0","7","8","6",13.5166666666667,"0","0","8","9","7",13.7714285714286,"0",11.1,0.6,2.02,"Graduate"
"Single","Technological specialization diploma holders",1,"Social Service (evening attendance)","evening","Technological specialization course",130,"Portuguese",1,19,"Unskilled Workers","Unskilled Workers",133.4,0,0,0,1,0,1,21,0,"1","6","6","6",11.5,"0","1","6","7","6",13.2857142857143,"0",12.4,0.5,1.79,"Graduate"
"Single","1st phase - general contingent",1,"Social Service","daytime","Secondary education",139,"Portuguese",37,38,"Unskilled Workers","Unskilled Workers",126.1,0,0,0,1,0,1,19,0,"0","6","7","5",12.3333333333333,"0","0","6","7","6",12.8333333333333,"0",12.7,3.7,-1.7,"Graduate"
"Single","Over 23 years old",1,"Tourism","daytime","Secondary education",130,"Portuguese",19,38,"Unskilled Workers","Skilled Workers in Industry, Construction and Craftsmen",113.5,0,0,0,1,0,1,24,0,"0","6","6","6",13.6666666666667,"0","0","6","6","6",14.1666666666667,"0",12.4,0.5,1.79,"Graduate"
"Single","1st phase - general contingent",1,"Nursing","daytime","Secondary education",139,"Portuguese",37,38,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",121.3,1,0,0,1,0,1,19,0,"0","8","10","6",11.8333333333333,"0","0","8","10","6",11.8333333333333,"0",9.4,-0.8,-3.12,"Enrolled"
"Single","1st phase - general contingent",3,"Equinculture","daytime","Secondary education",167,"Portuguese",37,37,"Other Situation","Other Situation",159.3,0,0,0,1,0,0,19,0,"0","5","7","5",14.7142857142857,"0","0","5","5","5",15.8,"0",7.6,2.6,0.32,"Graduate"
"Single","1st phase - general contingent",1,"Nursing","daytime","Secondary education",130,"Portuguese",1,19,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",129.1,1,0,0,1,0,0,18,0,"0","7","9","7",13.0444444444444,"0","0","8","10","8",13.595,"0",15.5,2.8,-4.06,"Graduate"
"Married","Holders of other higher courses",1,"Tourism","daytime","Higher education - degree",130,"Portuguese",1,3,"Administrative staff","Intermediate Level Technicians and Professions",130,0,0,0,1,0,0,39,0,"0","6","10","0",2.42226110671503,"0","0","6","6","0",3.64356526268778,"0",12.4,0.5,1.79,"Dropout"
"Single","2nd phase - general contingent",1,"Nursing","daytime","Secondary education",141,"Portuguese",38,38,"Skilled Workers in Industry, Construction and Craftsmen","Armed Forces Professions",139.8,1,0,0,1,0,0,18,0,"0","8","8","8",14.935,"0","0","8","8","8",14.935,"0",9.4,-0.8,-3.12,"Graduate"
"Single","1st phase - general contingent",3,"Animation and Multimedia Design","daytime","Secondary education",125,"Portuguese",38,37,"Administrative staff","Unskilled Workers",115.2,1,0,0,1,0,0,18,0,"0","0","0","0",8.27844525516759,"0","0","0","0","0",7.9206503924809,"0",7.6,2.6,0.32,"Enrolled"
"Single","Technological specialization diploma holders",1,"Social Service","daytime","Technological specialization course",130,"Portuguese",19,1,"Unskilled Workers","Unskilled Workers",131.9,0,0,0,1,0,1,21,0,"1","6","7","6",12,"0","1","6","7","6",12,"0",13.9,-0.3,0.79,"Graduate"
"Single","2nd phase - general contingent",3,"Animation and Multimedia Design","daytime","Secondary education",133,"Portuguese",1,37,"Administrative staff","Skilled Workers in Industry, Construction and Craftsmen",126,1,0,0,1,1,1,19,0,"0","0","0","0",6.35696137400087,"0","0","0","0","0",6.13835368809531,"0",10.8,1.4,1.74,"Enrolled"
"Single","2nd phase - general contingent",1,"Communication Design","daytime","Secondary education",127,"Portuguese",1,1,"Intermediate Level Technicians and Professions","Administrative staff",130.2,1,0,0,1,1,0,19,0,"0","6","6","5",11.4,"0","0","6","8","1",10,"0",10.8,1.4,1.74,"Enrolled"
"Single","Change of course",1,"Communication Design","daytime","Secondary education",116,"Portuguese",1,1,"Intermediate Level Technicians and Professions","Intermediate Level Technicians and Professions",120.9,0,0,0,1,1,0,24,0,"0","6","6","0",2.01838325728875,"0","0","6","6","0",2.96355871790697,"0",12.7,3.7,-1.7,"Enrolled"
"Divorced","Transfer",1,"Nursing","daytime","Basic education 3rd cycle (9th/10th/11th year) or equiv.",133.1,"Portuguese",1,1,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",126,1,0,0,1,1,0,29,0,"1","7","10","5",11.9,"0","1","8","10","5",11,"0",13.9,-0.3,0.79,"Dropout"
"Single","1st phase - general contingent",3,"Animation and Multimedia Design","daytime","Secondary education",139,"Portuguese",19,19,"Personal Services, Security and Safety Workers and Sellers","Intermediate Level Technicians and Professions",128.2,1,0,0,1,1,1,19,0,"0","0","0","0",3.61838802311762,"0","0","0","0","0",4.1887789531069,"0",10.8,1.4,1.74,"Graduate"
"Single","Technological specialization diploma holders",1,"Agronomy","daytime","Technological specialization course",130,"Portuguese",19,37,"Unskilled Workers","Unskilled Workers",130,1,0,0,1,1,0,23,0,"0","6","8","6",12.5714285714286,"0","0","6","7","6",12.4285714285714,"0",8.9,1.4,3.51,"Graduate"
"Single","1st phase - general contingent",3,"Management","daytime","Secondary education",125,"Portuguese",1,38,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.1,0,0,1,1,1,0,19,0,"0","5","8","5",11.2,"0","0","5","10","4",10.75,"1",16.2,0.3,-0.92,"Dropout"
"Single","Over 23 years old",1,"Tourism","daytime","Secondary education",160,"Portuguese",19,37,"Skilled Workers in Industry, Construction and Craftsmen","Armed Forces Professions",100,0,0,0,1,1,0,26,0,"0","6","7","6",12,"0","0","6","8","5",10.8,"0",12.7,3.7,-1.7,"Enrolled"
"Single","2nd phase - general contingent",1,"Management","daytime","Secondary education",148,"Portuguese",38,37,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",134,0,0,0,1,1,0,18,0,"0","5","9","0",3.98983276343093,"0","0","5","5","0",6.3753642300488,"0",7.6,2.6,0.32,"Enrolled"
"Single","2nd phase - general contingent",1,"Nursing","daytime","Secondary education",150,"Portuguese",37,19,"Installation and Machine Operators and Assembly Workers","Administrative staff",130.8,0,0,0,1,1,0,24,0,"0","7","8","7",11.975,"0","0","8","8","8",13.75,"0",13.9,-0.3,0.79,"Graduate"
"Single","1st phase - general contingent",1,"Animation and Multimedia Design","daytime","Secondary education",141,"Portuguese",19,19,"Personal Services, Security and Safety Workers and Sellers","Armed Forces Professions",135.8,1,0,0,1,1,0,19,0,"0","0","0","0",9.81374320020642,"0","0","0","0","0",5.2245925916379,"0",15.5,2.8,-4.06,"Dropout"
"Single","2nd phase - general contingent",4,"Journalism and Communication","daytime","Secondary education",121,"Portuguese",1,19,"Unskilled Workers","Installation and Machine Operators and Assembly Workers",120.3,1,0,1,1,1,1,19,0,"0","6","6","6",13.6666666666667,"0","0","6","6","6",13.3333333333333,"0",8.9,1.4,3.51,"Graduate"
"Single","2nd phase - general contingent",4,"Nursing","daytime","Secondary education",150,"Portuguese",38,37,"Unskilled Workers","Unskilled Workers",130.8,0,0,0,1,1,1,22,0,"0","7","7","7",14.8428571428571,"0","0","8","9","8",15.0555555555556,"0",16.2,0.3,-0.92,"Graduate"
"Married","Over 23 years old",1,"Social Service (evening attendance)","evening","Secondary education",120,"Portuguese",37,37,"Unskilled Workers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",117,0,0,0,1,1,0,33,0,"0","6","8","6",12,"0","0","6","6","6",11.6666666666667,"0",10.8,1.4,1.74,"Graduate"
"Single","1st phase - general contingent",6,"Basic Education","daytime","Secondary education",114,"Portuguese",19,19,"Unskilled Workers","Unskilled Workers",110.2,1,0,0,1,1,0,20,0,"0","6","8","5",12.2,"0","0","6","7","5",12.2,"0",10.8,1.4,1.74,"Dropout"
"Single","Over 23 years old",1,"Management (evening attendance)","evening","Higher education - bachelor's degree",140,"Portuguese",3,3,"Specialists in Intellectual and Scientific Activities","Specialists in Intellectual and Scientific Activities",155.7,1,0,0,1,1,0,35,0,"0","1","1","0",7.1732157039602,"1","0","5","0","0",2.11840052803057,"0",10.8,1.4,1.74,"Dropout"
"Single","2nd phase - general contingent",1,"Tourism","daytime","Secondary education",120,"Portuguese",19,19,"Administrative staff","Administrative staff",125.5,0,0,0,1,1,0,18,0,"0","5","6","5",12,"0","0","5","8","3",11.3333333333333,"0",12.7,3.7,-1.7,"Enrolled"
"Single","Transfer",1,"Nursing","daytime","Secondary education",160,"Portuguese",37,38,"Unskilled Workers","Skilled Workers in Industry, Construction and Craftsmen",161,1,0,0,1,0,1,22,0,"0","8","8","7",13.08,"0","0","8","8","7",13.08,"0",10.8,1.4,1.74,"Graduate"
"Single","Over 23 years old",1,"Advertising and Marketing Management","daytime","Secondary education",120,"Portuguese",1,19,"Administrative staff","Personal Services, Security and Safety Workers and Sellers",100,0,0,0,1,0,1,25,0,"0","5","7","4",10.5,"0","0","5","7","5",11.6,"0",9.4,-0.8,-3.12,"Graduate"
"Single","2nd phase - general contingent",1,"Communication Design","daytime","Secondary education",124,"Portuguese",19,38,"Administrative staff","Student",117.6,1,0,0,1,1,0,20,0,"0","6","9","6",10.6666666666667,"1","0","6","6","5",11.2,"0",7.6,2.6,0.32,"Graduate"
"Single","1st phase - general contingent",6,"Management","daytime","Secondary education",143,"Portuguese",38,37,"Unskilled Workers","Unskilled Workers",128.7,1,0,0,1,1,0,23,0,"0","5","6","4",14,"0","0","5","5","5",13.8,"0",11.1,0.6,2.02,"Enrolled"
"Single","Change of course",2,"Informatics Engineering","daytime","Secondary education",115,"Portuguese",38,19,"Unskilled Workers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",112.2,1,0,1,1,1,0,18,0,"0","5","9","2",10,"0","0","5","9","0",5.27271403320874,"0",15.5,2.8,-4.06,"Enrolled"
"Single","2nd phase - general contingent",2,"Journalism and Communication","daytime","Secondary education",133.1,"Brazilian",19,1,"Unskilled Workers","Unskilled Workers",105,1,0,0,0,0,0,21,1,"0","6","6","6",14,"0","0","6","6","6",13.5,"0",8.9,1.4,3.51,"Graduate"
"Single","International student (bachelor)",1,"Equinculture","daytime","Secondary education",133.1,"Brazilian",1,1,"Administrative staff","Administrative staff",100,0,0,0,1,0,0,26,1,"0","6","7","2",12,"1","0","6","6","0",4.50403033779215,"0",8.9,1.4,3.51,"Dropout"
"Single","1st phase - general contingent",5,"Journalism and Communication","daytime","Secondary education",135,"Portuguese",37,1,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",124.9,1,0,0,1,0,0,18,0,"0","6","6","6",13.6666666666667,"0","0","6","6","6",13.3333333333333,"0",8.9,1.4,3.51,"Graduate"
"Single","1st phase - general contingent",5,"Nursing","daytime","Secondary education",132,"Portuguese",37,37,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.3,1,0,0,1,0,1,18,0,"0","7","7","7",13.75,"0","0","8","9","8",14.4777777777778,"0",12.4,0.5,1.79,"Graduate"
"Single","1st phase - general contingent",1,"Veterinary Nursing","daytime","Secondary education",135,"Portuguese",1,2,"Unskilled Workers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",134.3,1,0,0,1,0,0,19,0,"0","5","7","5",14.2,"1","0","5","7","5",13.8,"0",12.7,3.7,-1.7,"Enrolled"
"Single","1st phase - general contingent",4,"Nursing","daytime","Secondary education",115,"Portuguese",3,3,"Specialists in Intellectual and Scientific Activities","Specialists in Intellectual and Scientific Activities",111.5,1,0,1,0,0,0,19,0,"0","7","10","4",11.96,"0","0","7","7","0",5.29713359013297,"0",13.9,-0.3,0.79,"Dropout"
"Single","1st phase - general contingent",4,"Animation and Multimedia Design","daytime","Secondary education",133.1,"Portuguese",1,1,"Unskilled Workers","Armed Forces Professions",110,1,0,0,1,0,0,20,0,"0","0","0","0",0.221834834114823,"0","0","0","0","0",8.18831351970791,"0",16.2,0.3,-0.92,"Graduate"
"Married","Over 23 years old",1,"Social Service (evening attendance)","evening","Secondary education",130,"Portuguese",37,37,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",113.5,1,0,0,1,0,0,36,0,"0","6","0","0",7.6108693702748,"0","0","6","0","0",3.01146018262265,"0",9.4,-0.8,-3.12,"Dropout"
"Single","3rd phase - general contingent",1,"Basic Education","daytime","Secondary education",123,"Portuguese",19,19,"Unskilled Workers","Skilled Workers in Industry, Construction and Craftsmen",117.4,1,0,0,1,0,0,19,0,"0","6","0","0",4.31316298202505,"0","0","6","0","0",2.52088880394309,"0",11.1,0.6,2.02,"Dropout"
"Single","1st phase - general contingent",2,"Social Service","daytime","Secondary education",122,"Portuguese",37,38,"Administrative staff","Skilled Workers in Industry, Construction and Craftsmen",118.2,1,0,0,1,0,0,19,0,"0","6","0","0",3.52812710740512,"0","0","6","0","0",5.571132116075,"0",16.2,0.3,-0.92,"Dropout"
"Single","1st phase - general contingent",5,"Nursing","daytime","Secondary education",111,"Portuguese",3,4,"Administrative staff","Intermediate Level Technicians and Professions",108.2,1,0,0,1,0,0,20,0,"1","7","9","6",13.2666666666667,"0","0","7","10","5",12.3,"0",12.4,0.5,1.79,"Dropout"
"Single","1st phase - general contingent",1,"Social Service","daytime","Secondary education",142,"Portuguese",37,37,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Skilled Workers in Industry, Construction and Craftsmen",136.1,1,0,0,1,0,0,18,0,"0","6","8","6",13.8571428571429,"0","0","6","6","6",15,"0",13.9,-0.3,0.79,"Graduate"
"Single","1st phase - general contingent",1,"Veterinary Nursing","daytime","Secondary education",131,"Portuguese",19,19,"Unskilled Workers","Unskilled Workers",139.8,1,0,0,1,0,0,19,0,"0","5","6","5",13.4,"0","0","5","5","5",12.8,"0",10.8,1.4,1.74,"Graduate"
"Single","1st phase - general contingent",3,"Journalism and Communication","daytime","Secondary education",158,"Portuguese",1,38,"Administrative staff","Skilled Workers in Industry, Construction and Craftsmen",157,1,0,0,1,0,0,18,0,"0","6","6","6",12.6666666666667,"0","0","6","7","6",12.5714285714286,"0",10.8,1.4,1.74,"Graduate"
"Single","2nd phase - general contingent",2,"Nursing","daytime","Secondary education",122,"Portuguese",37,37,"Unskilled Workers","Unskilled Workers",131,1,0,0,1,0,0,18,0,"0","7","7","6",12.5166666666667,"1","0","7","7","6",12.5166666666667,"1",7.6,2.6,0.32,"Dropout"
"Single","1st phase - general contingent",1,"Management","daytime","Secondary education",127,"Portuguese",2,19,"Administrative staff","Personal Services, Security and Safety Workers and Sellers",121.8,0,0,0,1,0,0,18,0,"0","5","5","5",12.6,"0","0","5","5","5",14,"0",11.1,0.6,2.02,"Graduate"
"Single","1st phase - general contingent",2,"Management","daytime","Secondary education",120,"Portuguese",19,19,"Unskilled Workers","Skilled Workers in Industry, Construction and Craftsmen",118.6,1,0,0,1,0,0,19,0,"0","5","8","5",10.8,"0","0","5","9","4",11.25,"1",16.2,0.3,-0.92,"Graduate"
"Single","1st phase - general contingent",1,"Animation and Multimedia Design","daytime","Secondary education",137,"Portuguese",3,19,"Specialists in Intellectual and Scientific Activities","Unskilled Workers",122.3,0,0,0,1,0,0,19,0,"0","0","0","0",1.8489182236922,"0","0","0","0","0",3.16808835746308,"0",10.8,1.4,1.74,"Dropout"
